__label__1 , The European Union includes how many ?
__label__2 , How can a person 's performance be measured ?
__label__1 , 10 interesting facts about alexander hamilton ?
__label__2 , Is john cena drunk ?
__label__1 , How many species if plants exist on earth ?
__label__1 , What is the name of the FBI agents ?
__label__1 , How much does McDonalds hamburger cost in 2008 ?
__label__1 , What is miley cyres favorite actress ?
__label__1 , Make a sentence from aberrant ?
__label__2 , What did Marquette and Jolliet accomplish ?
__label__2 , What is the value you have determind as the threshold stimulus for the neuron ?
__label__1 , How bigis the circumference of the moon ?
__label__2 , What are major sites of louisiana ?
__label__1 , Average administrative salaries in a manufacturing company ?
__label__1 , What is Cuba 's imports ?
__label__1 , Ryan shecklers life ?
__label__1 , What is the size of kevin jonass feet ?
__label__2 , What is the ict function purpose ?
__label__2 , Where is middle c on a scale ?
__label__2 , What is considered the capital of turkey ?
__label__1 , Name of the only moon with an atmosphere ?
__label__2 , What is the state food for nevada ?
__label__1 , Names of Opposition Parties and their leaders ?
__label__1 , Stereo wire diagram 02 lancer ?
__label__1 , How much does meth cost you denver ?
__label__2 , How did the reformation earn its name ?
__label__2 , Where in Montreal can you buy prom dresses ?
__label__1 , In wich continet is South Carolina located ?
__label__1 , When and were was the first abacus made ?
__label__2 , Where is the greek empire located ?
__label__2 , How many shingles in a bundel ?
__label__2 , What are two intresting facts about Matthew A Henson ?
__label__2 , What is a peptide linkage ?
__label__1 , When did financial meltdown happen ?
__label__2 , What country was aesop from ?
__label__1 , Where was gymnastics first found ?
__label__1 , What are the countrys are the european alps in ?
__label__1 , Advantages Market Research ?
__label__2 , Where does the saw fish live ?
__label__2 , What color eyes do giraffes have ?
__label__2 , What is the organ that produces gametes in male ?
__label__1 , What is uranus of moon ?
__label__1 , What the life span of a whale ?
__label__1 , How do you becomea bank ceo ?
__label__1 , What are the wholesaler 's channel functiona ?
__label__2 , How much does 3 cups of oatmeal weigh ?
__label__1 , A summery how do doctors use math ?
__label__1 , How many people can seat in giant stadium ?
__label__2 , Who invented cameras for making films ?
__label__1 , Where johann sebastian bach use to live ?
__label__1 , Special day of islam ?
__label__2 , Is cristiano ronaldo the best footballer ever ?
__label__1 , Are roaches scavngers ?
__label__2 , What qualifiactions does a movie director need ?
__label__1 , Where does an emu lives ?
__label__2 , How many hours is it from london to scotland ?
__label__2 , What country can you find cotton in ?
__label__2 , Are somalians ugly ?
__label__2 , Where do you find the oil filter on a 92 Buick Regal ?
__label__1 , How much money is all of miley cyruses albums ?
__label__1 , What are the salary of actuary ?
__label__1 , What college did Michael Phelps got to ?
__label__2 , What is interstellar reddening ?
__label__1 , How do you change the oil in 2007 accord ?
__label__2 , How do you bleed the clutch line on a 2000 Ford F150 ?
__label__1 , What is the economic history of pakistan introduction ?
__label__2 , What did duke ellington change his bands name to ?
__label__1 , What is meant to have an open circulatory system ?
__label__2 , How do you shoot a beebee gun ?
__label__1 , Air is made up of gaseswhat are they ?
__label__1 , Advantage of reproductive cloning ?
__label__1 , Whe were ships invented ?
__label__1 , What is demi lavato favorite celebrity crush ?
__label__2 , Where is the largest reflecting telescope in the world ?
__label__2 , Which of the following is an amino acid not found in proteins ?
__label__2 , Who else was with the Aztecs ?
__label__1 , How di fish survive ?
__label__2 , What is copper used for in everyday life ?
__label__2 , How many units of alcohol are in one pint of beer ?
__label__2 , What was the Soceity of Jesus ?
__label__1 , Money cheat codes for zwinky zchat ?
__label__2 , How many oryx are in the wild ?
__label__2 , How is classical conditioning applied to everyday life ?
__label__2 , What is mica 's folklore ?
__label__1 , The population in columbia ?
__label__1 , How many type of sport are there ?
__label__2 , What is the powerhouse of the cell ?
__label__1 , Who enforces and carries out the missouri laws ?
__label__2 , How do you change the clock on a 1998 gmc 1500 ?
__label__2 , Is PbCl2 a soluble compound ?
__label__2 , How many prawns live a day ?
__label__1 , Two things Indians used flint for ?
__label__2 , How many quarts is 80 oz ?
__label__2 , Where does the surname Blagg originate ?
__label__2 , How many calories are in a 330mL can of Coca-Cola ?
__label__1 , What iste income of a general surgeon ?
__label__1 , What is the rugby positions ?
__label__1 , Name one sources the framers used during constitution ?
__label__1 , How inhibitor inhibit the enzyme ?
__label__2 , What country is in the center of the earth ?
__label__1 , What did the 19t amendement do ?
__label__1 , How do you convert mass to amount ?
__label__1 , How dome mountains form from storytown ?
__label__1 , Short term disability checks taxable to the recipient ?
__label__2 , How large is Orion Nebula ?
__label__2 , Are jellyfish pseudocoelomates ?
__label__1 , What percentage of the body if muscle in a male ?
__label__1 , Ursing diagnosis for hyponatremia ?
__label__2 , What is the spelling for grandma in greek ?
__label__2 , What work experience do you need to become a pediatrician ?
__label__1 , What month are in fall ?
__label__1 , What do black birds coming around mean ?
__label__2 , How many people like choclate icecream ?
__label__1 , What is was the primary goal of Operation Rolling Thunder ?
__label__1 , What is waynes net worth ?
__label__2 , Plankton belongs to which kingdom of living things ?
__label__2 , How many gallons are there in 90 liters ?
__label__1 , Who was hawaii 's first goverors ?
__label__1 , What is the population of the Los Angeles county ?
__label__1 , Where is feebas if the phrase is excellent anime in pokemon emerald ?
__label__2 , Who was judaism 's leader ?
__label__2 , How many back bones are in the human spinal cord ?
__label__2 , What color is nitrogen in a discharge tube ?
__label__2 , Can eye color affect peripheral vision ?
__label__2 , How do people plan to bring back the saber tooth cat ?
__label__1 , Where was angella ferguson ?
__label__1 , American Generals of mexican american war ?
__label__2 , As of September 2008 who is danny jones dating ?
__label__1 , Do flavor flav have kids ?
__label__1 , Specific personality traits of calico cats ?
__label__1 , Is coil in canadda ?
__label__2 , Who invented over 50 things including an engine ?
__label__2 , Where is the majority of nuclear energy that lands on the earth produced ?
__label__2 , What are examples of hard drugs ?
__label__2 , How is donnie j klang ?
__label__2 , What are the record custodian steps in the filing plan process ?
__label__1 , How many lumens are in fluorescent light bulb ?
__label__2 , How do you calcalate overtime pay ?
__label__1 , Write the nuclear symbol for each of the following ?
__label__2 , How do you segregate your trash ?
__label__1 , Mercury drug-list of iBuprofen drugs ?
__label__1 , Who is kevin rudds wife ?
__label__1 , Who was vice president when george washington was presideny ?
__label__2 , How do you get the frontier brain to battle you ?
__label__2 , On what level does feebas evolve ?
__label__2 , Who was diego valasquez ?
__label__2 , When and what did Robert Boyle conribute to the atomic theory ?
__label__2 , Where are the spark plugs on a 2000 chevy prizm ?
__label__1 , What size is a water polo poo ?
__label__2 , What are five good facts about hydrogen ?
__label__2 , How much to send a 1 st class letter ?
__label__1 , Why use models in science ?
__label__1 , Can you give a sentence using the word unsullied ?
__label__1 , Who do you get a livgirl code for free ?
__label__1 , How many floors are in frosty grotto on red rescue team ?
__label__2 , True or false - wichita is the most populous city in kansas ?
__label__2 , What constitues kidney failure ?
__label__1 , Who do you directed Stars Wars ?
__label__2 , How many electrons does uranium have in a neutral atom ?
__label__1 , Does shadow kiss in sonic x ?
__label__1 , How much does a tyrannosuarus rex weigh ?
__label__2 , Can a hamster have grapes ?
__label__2 , How do you install a blower resistor on a 1999 chevy tahoe ?
__label__1 , Top universities and colleges in US ?
__label__1 , Where histones are present ?
__label__2 , Where are golf carts used ?
__label__2 , How much money is high grade coal worth ?
__label__1 , Rachel Carson was famous for ?
__label__2 , Where is the homework ?
__label__1 , How many feet the nba ring ?
__label__2 , What is the magnet in a compass for ?
__label__2 , What is the mailing address of governor arnold schwarzenegger ?
__label__1 , What are the predators from the flamingo ?
__label__1 , How many kj are in a eggplant ?
__label__1 , How do you improve eye hand ?
__label__1 , Who are bob marley children ?
__label__2 , Is Selena Gonzales Dave Batista 's Daughter ?
__label__1 , Purines that found in DNA ?
__label__1 , The air disance between london to cape town ?
__label__2 , What is tim berner-lee famous for ?
__label__1 , Outer layer of skin ?
__label__2 , How many episodes did Friends do ?
__label__1 , Can diabetes b cured ?
